商品コード,商品名１,伝票日付,入出庫伝票№,プログラム名,取引区分略称,ロット№,入荷日,消費期限,フロアコード,ロケーション№,単位名,入庫数量,出庫数量,入数B,入庫数（バラ）,出庫数（バラ）,ﾀｲﾑｽﾀﾝﾌﾟ（時間）,ﾀｲﾑｽﾀﾝﾌﾟ（日付）,担当者コード,担当者名,車番,ﾃﾞｰﾀ・ﾀｲﾑｽﾀﾝﾌﾟ（日付）,ﾃﾞｰﾀ･ﾀｲﾑｽﾀﾝﾌﾟ（時間）,タイムスタンプ2桁,タイムスタンプ4桁,社内備考,備考,クライアントＩＤ,最終作業者コード
SKU-001,冷凍餃子,2026/03/24,SLIP-1001,WMS_IMPORT,入庫,LOT-240320,2026/03/20,2026/09/20,F1,F1-A-01,CS,20,0,12,240,0,08:15:00,2026/03/24,OP001,田中,TRK-12,2026/03/24,08:16:05,08,0815,朝一番の入荷,検品済み,CLIENT-01,OP001
SKU-001,冷凍餃子,2026/03/24,SLIP-1002,PICK_APP,出庫,LOT-240320,2026/03/20,2026/09/20,F1,F1-A-01,CS,0,5,12,0,60,09:10:00,2026/03/24,OP002,佐藤,,2026/03/24,09:10:42,09,0910,,出荷ピック,CLIENT-01,OP002
SKU-002,鶏むね肉,2026/03/24,SLIP-1003,WMS_IMPORT,入庫,LOT-240321,2026/03/21,2026/03/30,F1,F1-B-02,EA,100,0,,100,0,08:45:00,2026/03/24,OP001,田中,TRK-08,2026/03/24,08:46:10,08,0845,要期限優先,要冷蔵,CLIENT-01,OP001
SKU-002,鶏むね肉,2026/03/24,SLIP-1004,PICK_APP,出庫,LOT-240321,2026/03/21,2026/03/30,F1,F1-B-02,EA,0,18,,0,18,10:05:00,2026/03/24,OP003,鈴木,,2026/03/24,10:05:31,10,1005,,午前便,CLIENT-01,OP003
SKU-003,ミネラルウォーター,2026/03/24,SLIP-1005,TRANSFER,出庫,LOT-240101,2026/01/15,2027/01/15,F2,F2-C-05,CS,0,8,24,0,192,10:22:00,2026/03/24,OP004,高橋,,2026/03/24,10:22:19,10,1022,2階補充移動,補充対応,CLIENT-02,OP004
SKU-003,ミネラルウォーター,2026/03/24,SLIP-1006,TRANSFER,入庫,LOT-240101,2026/01/15,2027/01/15,F1,F1-C-01,CS,8,0,24,192,0,10:30:00,2026/03/24,OP004,高橋,,2026/03/24,10:30:11,10,1030,1階へ移動完了,,CLIENT-02,OP004
SKU-004,カップ麺しょうゆ,2026/03/24,SLIP-1007,CYCLE_COUNT,棚卸,LOT-240201,2026/02/01,2026/12/01,F1,F1-D-03,EA,0,0,,0,0,11:00:00,2026/03/24,OP005,中村,,2026/03/24,11:00:45,11,1100,棚卸差異確認,在庫差異なし,CLIENT-02,OP005
SKU-005,ヨーグルト,2026/03/24,SLIP-1008,PICK_APP,出庫,LOT-240322,2026/03/22,2026/03/28,F1,F1-B-05,EA,0,36,,0,36,11:20:00,2026/03/24,OP003,鈴木,,2026/03/24,11:20:28,11,1120,期限短め商品,優先出荷,CLIENT-01,OP003
SKU-006,ポテトチップスうすしお,2026/03/24,SLIP-1009,WMS_IMPORT,入庫,LOT-240324,2026/03/24,2026/10/24,F2,F2-A-07,CS,15,0,24,360,0,12:05:00,2026/03/24,OP006,小林,TRK-15,2026/03/24,12:06:12,12,1205,新商品初回入荷,,CLIENT-03,OP006
SKU-006,ポテトチップスうすしお,2026/03/24,SLIP-1010,PICK_APP,出庫,LOT-240324,2026/03/24,2026/10/24,F2,F2-A-07,CS,0,2,24,0,48,13:40:00,2026/03/24,OP002,佐藤,,2026/03/24,13:40:44,13,1340,,午後便ピック,CLIENT-03,OP002
SKU-007,冷凍えび,2026/03/24,SLIP-1011,WMS_IMPORT,入庫,LOT-240323,2026/03/23,2026/08/23,F3,F3-F-02,CS,12,0,10,120,0,14:10:00,2026/03/24,OP001,田中,TRK-21,2026/03/24,14:11:03,14,1410,冷凍庫3階受入,,CLIENT-02,OP001
SKU-007,冷凍えび,2026/03/24,SLIP-1012,PICK_APP,出庫,LOT-240323,2026/03/23,2026/08/23,F3,F3-F-02,CS,0,3,10,0,30,15:25:00,2026/03/24,OP007,山本,,2026/03/24,15:25:49,15,1525,,冷凍便出荷,CLIENT-02,OP007
